Metric,SPY,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,67.0%,74.0%
,,
Total Return,2%,0%
CAGR% (Annual Return),72.37%,2.21%
,,
Sharpe,8.34,-5.22
RoMaD,250.58,91.24
Corr to Benchmark,1.0,-0.04
Prob. Sharpe Ratio,99.47%,79.8%
Smart Sharpe,8.19,-5.13
Sortino,32.59,-6.28
Smart Sortino,32.02,-6.17
Sortino/√2,23.04,-4.44
Smart Sortino/√2,22.64,-4.36
Omega,0.49,0.49
,,
Max Drawdown,-0.29%,-0.02%
Longest DD Days,3,2
Volatility (ann.),5.61%,0.4%
R^2,0.0,0.0
Information Ratio,-0.45,-0.45
Calmar,250.58,91.24
Skew,1.29,-0.0
Kurtosis,1.31,0.97
,,
Expected Daily%,0.14%,0.01%
Expected Monthly%,2.11%,0.08%
Expected Yearly%,2.11%,0.08%
Daily Value-at-Risk,-0.34%,-0.03%
Expected Shortfall (cVaR),-0.34%,-0.03%
,,
MTD,2.11%,0.08%
3M,2.11%,0.08%
6M,2.11%,0.08%
YTD,2.11%,0.08%
1Y,2.11%,0.08%
3Y (ann.),72.37%,2.21%
5Y (ann.),72.37%,2.21%
10Y (ann.),72.37%,2.21%
All-time (ann.),72.37%,2.21%
,,
Best Day,0.85%,0.05%
Worst Day,-0.26%,-0.04%
Best Month,2.11%,0.08%
Worst Month,2.11%,0.08%
Best Year,2.11%,0.08%
Worst Year,2.11%,0.08%
,,
Avg. Drawdown,-0.18%,-0.01%
Avg. Drawdown Days,3,2
Recovery Factor,7.25,3.46
Ulcer Index,0.0,0.0
Serenity Index,-25.15,-1055.16
,,
Avg. Up Month,2.11%,0.08%
Avg. Down Month,-,-
Win Days,10.5,10.91
Loss Days,4.5,4.09
Win Days%,70.0%,72.73%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.0
Alpha,-,0.02
Correlation,-,-4.43%
Treynor Ratio,-,1304.68%
