Metric,SPY,Strategy
Risk-Free Rate,4.24%,4.24%
Time in Market,67.0%,0.0%
,,
Total Return,2%,0%
CAGR% (Annual Return),72.37%,0.0%
,,
Sharpe,8.34,-
RoMaD,250.58,-
Corr to Benchmark,1.0,-
Prob. Sharpe Ratio,99.47%,-
Smart Sharpe,-,-
Sortino,32.59,-19.1
Smart Sortino,-,-
Sortino/√2,23.04,-13.51
Smart Sortino/√2,-,-
Omega,0.0,0.0
,,
Max Drawdown,-0.29%,-
Longest DD Days,-,-
Volatility (ann.),5.61%,0.0%
R^2,0.0,0.0
Information Ratio,-0.48,-0.48
Calmar,250.58,-
Skew,1.29,0.0
Kurtosis,1.31,0.0
,,
Expected Daily%,0.14%,0.0%
Expected Monthly%,2.11%,0.0%
Expected Yearly%,2.11%,0.0%
Daily Value-at-Risk,-0.34%,-
Expected Shortfall (cVaR),-0.34%,-
,,
MTD,2.11%,0.0%
3M,2.11%,0.0%
6M,2.11%,0.0%
YTD,2.11%,0.0%
1Y,2.11%,0.0%
3Y (ann.),72.37%,0.0%
5Y (ann.),72.37%,0.0%
10Y (ann.),72.37%,0.0%
All-time (ann.),72.37%,0.0%
,,
Best Day,0.85%,0.0%
Worst Day,-0.26%,0.0%
Best Month,2.11%,0.0%
Worst Month,2.11%,0.0%
Best Year,2.11%,0.0%
Worst Year,2.11%,0.0%
,,
Avg. Drawdown,-0.18%,-
Avg. Drawdown Days,-,-
Recovery Factor,7.25,-
Ulcer Index,0.0,0.0
Serenity Index,-25.15,-
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,10.5,0.0
Loss Days,4.5,15.0
Win Days%,70.0%,0.0%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.0
Alpha,-,0.0
Correlation,-,-
Treynor Ratio,-,0%
